Robbie Lawler|| depth = 0
Shinya Aoki|| depth = 0
Zebaztian Kadestam|| depth = 0
Agilan Thani|| depth = 0
Nikolay Aleksakhin|| depth = 0
Nobutatsu Suzuki|| depth = 0
Bakhtiyar Abbasov|| depth = 0
Andrey Koreshkov|| depth = 0
Karl Amoussou|| depth = 0
Douglas Lima|| depth = 0
Jay Hieron|| depth = 0
Nick Thompson|| depth = 0
Lyman Good|| depth = 0
Dan Hornbuckle|| depth = 0
Ryan Thomas|| depth = 0
Matt Delanoit|| depth = 0
Mitchell Harris|| depth = 0
Josh Flowers|| depth = 0
Donald Cerrone|| depth = 1
Carlos Condit|| depth = 1
Rory MacDonald|| depth = 1
Johny Hendricks|| depth = 1
Matt Brown|| depth = 1
Jake Ellenberger|| depth = 1
Bobby Voelker|| depth = 1
Josh Koscheck|| depth = 1
Adlan Amagov|| depth = 1
Matt Lindland|| depth = 1
Melvin Manhoef|| depth = 1
Scott Smith|| depth = 1
Murilo Rua|| depth = 1
Frank Trigg|| depth = 1
Eduardo Pamplona|| depth = 1
Joey Villaseñor|| depth = 1
Falaniko Vitale|| depth = 1
Jeremy Brown|| depth = 1
Chris Lytle|| depth = 1
Tiki Ghosn|| depth = 1
Steve Berger|| depth = 1
Aaron Riley|| depth = 1
Saburo Kawakatsu|| depth = 1
Marco Macera|| depth = 1
Landon Showalter|| depth = 1
John Reed|| depth = 1
Eduard Folayang|| depth = 1
James Nakashima|| depth = 1
Kimihiro Eto|| depth = 1
Honorio Banario|| depth = 1
Ev Ting|| depth = 1
Shannon Wiratchai|| depth = 1
Rasul Yakhyaev|| depth = 1
Kazushi Sakuraba|| depth = 1
Koji Ando|| depth = 1
Yuki Yamamoto|| depth = 1
Kamal Shalorus|| depth = 1
Toshikatsu Harada|| depth = 1
Cody Stevens|| depth = 1
Kotetsu Boku|| depth = 1
Antonio McKee|| depth = 1
Arnaud Lepont|| depth = 1
Satoru Kitaoka|| depth = 1
Rob McCullough|| depth = 1
Rich Clementi|| depth = 1
Lyle Beerbohm|| depth = 1
Yokthai Sithoar|| depth = 1
Marcus Aurélio|| depth = 1
Tatsuya Kawajiri|| depth = 1
Mizuto Hirota|| depth = 1
Joachim Hansen|| depth = 1
Vítor Ribeiro|| depth = 1
David Gardner|| depth = 1
Eddie Alvarez|| depth = 1
Todd Moore|| depth = 1
Caol Uno|| depth = 1
Katsuhiko Nagata|| depth = 1
Gesias Cavalcante|| depth = 1
Jung Bu-Kyung|| depth = 1
Brian Lo-A-Njoe|| depth = 1
Akira Kikuchi|| depth = 1
Clay French|| depth = 1
George Sotiropoulos|| depth = 1
Jason Black|| depth = 1
Kuniyoshi Hironaka|| depth = 1
Shigetoshi Iwase|| depth = 1
Keith Wisniewski|| depth = 1
Seichi Ikemoto|| depth = 1
Yasutoshi Ryu|| depth = 1
Dai Okimura|| depth = 1
Brock Larson|| depth = 1
Phil Baroni|| depth = 1
Austin Judge|| depth = 1
Maurice Shelton|| depth = 1
Uh Jin Jeon|| depth = 1
Osami Shibuya|| depth = 1
Yojiro Uchimura|| depth = 1
Kestutis Smirnovas|| depth = 1
Kenji Nagai|| depth = 1
Kazuhiro Hanada|| depth = 1
Yusuke Takahashi|| depth = 1
Adriano Rodrigues|| depth = 1
Michael Jasper|| depth = 1
Vaso Bakočević|| depth = 1
Chidi Njokuani|| depth = 1
Benson Henderson|| depth = 1
Adam McDonough|| depth = 1
Justin Baesman|| depth = 1
Nah-Shon Burrell|| depth = 1
David Gomez|| depth = 1
Marius Žaromskis|| depth = 1
Jordan Smith|| depth = 1
Derrick Krantz|| depth = 1
Tiawan Howard|| depth = 1
Kyacey Uscola|| depth = 1
Tadas Aleksonis|| depth = 1
Todor Zhelezkov|| depth = 1
Eldad Levi|| depth = 1
Abdula Dadaev|| depth = 1
Eduardo Conceição|| depth = 1
Anzor Kardanov|| depth = 1
Alexey Aranzaev|| depth = 1
Matt Inman|| depth = 1
Juho Valamaa|| depth = 1
Giovanni Melillo|| depth = 1
Hakon Foss|| depth = 1
Abdulmazhid Magomedov|| depth = 1
Florent Betorangal|| depth = 1
Felipe Salvador Nsue Ayiugono|| depth = 1
Bryan Baker|| depth = 1
David Rickels|| depth = 1
Chris Lozano|| depth = 1
Jesus Martinez|| depth = 1
Nathan Schouteren|| depth = 1
John Doyle|| depth = 1
Kazuhiro Hamanaka|| depth = 1
Grégory Babene|| depth = 1
Min Suk-Heo|| depth = 1
Mike Dolce|| depth = 1
Dmitry Samoilov|| depth = 1
Mark O'Toole|| depth = 1
Alexander Yakovlev|| depth = 1
Brian Maulany|| depth = 1
Lee Chadwick|| depth = 1
Colin McKee|| depth = 1
Michael Page|| depth = 1
Lorenz Larkin|| depth = 1
Paul Daley|| depth = 1
Rick Hawn|| depth = 1
Ben Saunders|| depth = 1
Michail Tsarev|| depth = 1
Jacob Ortiz|| depth = 1
Steve Carl|| depth = 1
Terry Martin|| depth = 1
Jesse Juarez|| depth = 1
Ryan Ford|| depth = 1
Cortez Coleman|| depth = 1
Clint Hester|| depth = 1
Eddie Hernandez|| depth = 1
Joseph Baize|| depth = 1
Cody Senseney|| depth = 1
Eric Davila|| depth = 1
Daniel Douglas|| depth = 1
Kyle Baker|| depth = 1
Ed Nuno|| depth = 1
Joshua Hancock|| depth = 1
Ray Perales|| depth = 1
John Nellermoe|| depth = 1
Nathan Osterkamp|| depth = 1
Steve Linton|| depth = 1
Carlos Julio Molestina|| depth = 1
Romario da Silva|| depth = 1
Brent Weedman|| depth = 1
Anthony Lapsley|| depth = 1
Joe Riggs|| depth = 1
Jesse Taylor|| depth = 1
Jason High|| depth = 1
Chris Kennedy|| depth = 1
Mark Miller|| depth = 1
Delson Heleno|| depth = 1
Donnie Liles|| depth = 1
Victor Moreno|| depth = 1
Amos Sotelo|| depth = 1
Steve Schneider|| depth = 1
Pat Healy|| depth = 1
Richard Brass|| depth = 1
Ronald Jhun|| depth = 1
Fabio Holanda|| depth = 1
Fernando Munoz|| depth = 1
Jermaine Johnson|| depth = 1
Keith Plate|| depth = 1
Travis McCullough|| depth = 1
Michael Costa|| depth = 1
Fabricio Monteiro|| depth = 1
John Troyer|| depth = 1
Mark Weir|| depth = 1
Dustin Denes|| depth = 1
Ansar Chalangov|| depth = 1
