Zebaztian Kadestam || depth =0 || parent is : Ben Askren
Agilan Thani || depth =0 || parent is : Ben Askren
Nikolay Aleksakhin || depth =0 || parent is : Ben Askren
Bakhtiyar Abbasov || depth =0 || parent is : Ben Askren
Matt Delanoit || depth =0 || parent is : Ben Askren
Mitchell Harris || depth =0 || parent is : Ben Askren
Josh Flowers || depth =0 || parent is : Ben Askren
Eduardo Pamplona || depth =1 || parent is : Robbie Lawler
Jeremy Brown || depth =1 || parent is : Robbie Lawler
Marco Macera || depth =1 || parent is : Robbie Lawler
Landon Showalter || depth =1 || parent is : Robbie Lawler
John Reed || depth =1 || parent is : Robbie Lawler
James Nakashima || depth =1 || parent is : Shinya Aoki
Kimihiro Eto || depth =1 || parent is : Shinya Aoki
Honorio Banario || depth =1 || parent is : Shinya Aoki
Ev Ting || depth =1 || parent is : Shinya Aoki
Rasul Yakhyaev || depth =1 || parent is : Shinya Aoki
Koji Ando || depth =1 || parent is : Shinya Aoki
Yuki Yamamoto || depth =1 || parent is : Shinya Aoki
Toshikatsu Harada || depth =1 || parent is : Shinya Aoki
Cody Stevens || depth =1 || parent is : Shinya Aoki
Arnaud Lepont || depth =1 || parent is : Shinya Aoki
David Gardner || depth =1 || parent is : Shinya Aoki
Shigetoshi Iwase || depth =1 || parent is : Shinya Aoki
Yasutoshi Ryu || depth =1 || parent is : Shinya Aoki
Dai Okimura || depth =1 || parent is : Shinya Aoki
Austin Judge || depth =1 || parent is : Nobutatsu Suzuki
Maurice Shelton || depth =1 || parent is : Nobutatsu Suzuki
Uh Jin Jeon || depth =1 || parent is : Nobutatsu Suzuki
Osami Shibuya || depth =1 || parent is : Nobutatsu Suzuki
Yojiro Uchimura || depth =1 || parent is : Nobutatsu Suzuki
Kenji Nagai || depth =1 || parent is : Nobutatsu Suzuki
Kazuhiro Hanada || depth =1 || parent is : Nobutatsu Suzuki
Yusuke Takahashi || depth =1 || parent is : Nobutatsu Suzuki
Adriano Rodrigues || depth =1 || parent is : Andrey Koreshkov
Michael Jasper || depth =1 || parent is : Andrey Koreshkov
Vaso Bakočević || depth =1 || parent is : Andrey Koreshkov
David Gomez || depth =1 || parent is : Andrey Koreshkov
Tiawan Howard || depth =1 || parent is : Andrey Koreshkov
Tadas Aleksonis || depth =1 || parent is : Andrey Koreshkov
Todor Zhelezkov || depth =1 || parent is : Andrey Koreshkov
Eldad Levi || depth =1 || parent is : Andrey Koreshkov
Abdula Dadaev || depth =1 || parent is : Andrey Koreshkov
Eduardo Conceição || depth =1 || parent is : Andrey Koreshkov
Anzor Kardanov || depth =1 || parent is : Andrey Koreshkov
Alexey Aranzaev || depth =1 || parent is : Andrey Koreshkov
Matt Inman || depth =1 || parent is : Karl Amoussou
Juho Valamaa || depth =1 || parent is : Karl Amoussou
Giovanni Melillo || depth =1 || parent is : Karl Amoussou
Hakon Foss || depth =1 || parent is : Karl Amoussou
Abdulmazhid Magomedov || depth =1 || parent is : Karl Amoussou
Florent Betorangal || depth =1 || parent is : Karl Amoussou
Felipe Salvador Nsue Ayiugono || depth =1 || parent is : Karl Amoussou
Nathan Schouteren || depth =1 || parent is : Karl Amoussou
John Doyle || depth =1 || parent is : Karl Amoussou
Grégory Babene || depth =1 || parent is : Karl Amoussou
Min Suk-Heo || depth =1 || parent is : Karl Amoussou
Mike Dolce || depth =1 || parent is : Karl Amoussou
Dmitry Samoilov || depth =1 || parent is : Karl Amoussou
